Product id,Product Name,Manufacturer,Product description,"Dimensions, tile","Dimensions, thickness",Product category,Unit type,Quality of the product,Product ID,Composants,Composant IDs,Contaminants,Production date,Installation date,Market value for new product,Dismantling method,Dimensional deviation according to EN 12825,ifc_entity,ifc_predefined_type,ifc_is_external,ifc_loadbearing,ifc_isBuiltIn,Use span (total),"Dimensions, pedestal grid","Dimensions, standard pedestal heights",System weight,Resistance to earth,Fire resistance,Take back program original manufacturer,Take back program other manufacturers,Policy on treatment,Use span (remaining),Dismantling costs per sqm,Transport costs per sqm,Refurbishment costs per sqm,Testing costs per sqm,Reuse potential,Recycling: Local availability of recycling plant (km),Recycling potential,Market value for reuse product,Condition,Packaging recommandations after dismantling,Accessories,Refurbishment method,Recycling: Separability,Reuse: Deconstructability,Product id,Product quality,System weight max,System weight min,Resistance to earth min,Thickness max,Thickness min,ProductType,Manufacturer id,Dismantling Instruction,C2C_MH_Silver_Certificate,Length,Width,Height,
Nortec_1234,Nortec,Lindner,"fibre-reinforced calcium sulphate panel, with galvanised steel sheet at bottom side on request, optionally with surrounding edge trim protection against damage and humidity",,16 - 38.5 mm,,,high,,,,,,,,,class 1,,,,,,,600 x 600 mm,"25 - 2,000 mm",32 - 62 kg/mï¿½,? 1 x 106 ? (depending on covering),,YES,,,,,,,,high_reuse_potential,,,,,,"pedestal, screws",,,,Nortec_1234,product_quality_high,62,32,106,,,FloorSystem,lindner,https://cloud.ilabt.imec.be/index.php/s/waq4WKqxgDjnw5G,https://ex.org/Lindn_NORTE_Silve_MHC5238_2023-02-22_9212.pdf,,,,
tile_1234,Calcium sulfate panel,Lindner,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,high_reuse_potential,,,,,,"pedestal, screws",,,,tile_1234,product_quality_high,,,,38.5,16,FloorTile,lindner,,https://ex.org/Lindn_NORTE_Silve_MHC5238_2023-02-22_9212.pdf,,,,
pedestal_1234,Pedestal,Lindner,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,moderate_reuse_potential,,,,,,,,,,pedestal_1234,product_quality_high,,,,,,Pedestal,lindner,,https://ex.org/Lindn_NORTE_Silve_MHC5238_2023-02-22_9212.pdf,600,600,2000,
pedestal_glue_1234,Pedestal glue,Lindner,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,no_reuse,,,,,,,,,,pedestal_glue_1234,product_quality_high,,,,,,PedestalGlue,lindner,,https://ex.org/Lindn_NORTE_Silve_MHC5238_2023-02-22_9212.pdf,,,,
Nortec_1235,Nortec acoustic,Lindner,"fibre-reinforced calcium sulphate panel with acoustic layer, with galvanised steel sheet at bottom side on request, optionally with surrounding edge trim protection against damage and humidity, ",,26 - 48.5 mm,,,high,,,,,,,,,class 1,,,,,,,600 x 600 mm,"25 - 2,000 mm",32 - 62 kg/mï¿½,? 1 x 106 ? (depending on covering),,YES,,,,,,,,high_reuse_potential,,,,,,"pedestal, screws, acoustic layer",,,,Nortec_1235,product_quality_high,62,32,106,,,FloorSystem,lindner,https://cloud.ilabt.imec.be/index.php/s/waq4WKqxgDjnw5G,https://ex.org/Lindn_NORTE_Silve_MHC5238_2023-02-22_9212.pdf,,,,
acoustic_layer_1235,Acoustic layer,Lindner,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,high_reuse_potential,,,,,,,,,,acoustic_layer_1235,product_quality_high,,,,3,5,AcousticLayer,lindner,,https://ex.org/Lindn_NORTE_Silve_MHC5238_2023-02-22_9212.pdf,,,,
